name,GSM1620822,GSM1620823,GSM1620824,GSM1620819,GSM1620820,GSM1620821,GSM1620912,GSM1620913,GSM1620914,GSM1620915,GSM1620916,GSM1620917
DDR1,5.064419,5.017833,5.116154,5.866378,4.948736,5.148384,5.558892,6.472517,5.678816,5.653286,6.013841,5.465334
RFC2,7.198461,7.83145,7.203592,8.22579,7.525865,7.764637,5.963346,8.261422,6.925753,7.918424,7.442701,9.225221
HSPA6,5.974135,6.793079,6.435229,6.179732,6.628137,5.859151,7.474326,6.367759,6.835756,7.577035,7.147417,6.481128
PAX8,6.545905,5.911542,6.28542,6.179478,6.582889,6.602135,5.949091,6.440978,6.955883,6.499215,6.587065,6.897591
GUCA1A,2.712124,2.723687,2.706684,2.792048,2.695714,2.580181,2.979381,3.730139,2.914868,3.013901,2.72932,3.151449
MIR5193,9.134584,9.582344,9.538661,9.290411,9.462275,9.116776,7.143352,7.35573,7.944295,8.563123,8.699222,8.194374
THRA,7.357827,7.283873,7.437173,6.998285,6.558215,6.851623,5.420596,6.206879,6.638364,7.379568,6.59835,6.133298
PTPN21,5.24214,5.219484,5.408639,5.348944,5.410884,5.254073,6.335446,6.21793,5.992344,5.766029,5.577456,6.193797
CCL5,10.879913,10.090525,11.050246,10.742427,9.865655,10.148454,6.732177,5.375997,9.613539,9.312494,9.617118,9.372335
CYP2E1,5.690417,7.089369,8.318673,7.270561,4.810195,7.822844,6.513464,6.133232,3.896807,5.545194,4.147477,4.69367
EPHB3,5.38825,5.304407,5.175463,5.021509,5.202282,5.283355,5.932479,6.167461,5.571783,5.622807,5.583193,6.00676
ESRRA,7.569899,7.740858,8.184451,8.059842,7.634543,7.78302,7.191677,5.942289,6.728296,7.292621,7.549166,7.87677
CYP2A6,4.2337,4.809293,4.437841,4.465542,5.109059,4.443266,4.618617,5.478472,5.356384,4.904145,4.569554,5.443059
SCARB1,5.725558,6.121425,5.663191,6.645897,5.463567,5.577617,6.021284,5.871057,5.559009,5.278981,5.64803,6.361903
TTLL12,8.989759,8.821808,9.104516,9.115462,9.167618,9.479878,5.75666,6.277932,6.342225,9.53885,8.532876,8.188344
LINC00152,6.817143,7.794473,7.154282,7.085176,6.32372,7.044611,6.242855,6.34803,3.927101,6.817561,7.25994,4.06318
WFDC2,4.994939,4.969815,4.690624,4.772004,5.044304,5.13832,4.614527,3.699984,5.277897,5.443643,4.861286,5.586244
MAPK1,7.013307,6.976378,7.031268,7.443138,6.402608,6.796357,6.213377,5.279709,6.58928,6.765377,7.335106,3.587111
ADAM32,4.048211,4.285466,3.905321,4.28421,4.734431,4.622869,5.941151,6.720434,6.203384,5.090552,3.651405,4.079064
SPATA17,2.911643,2.430124,2.450934,2.800892,2.232962,2.144503,3.282986,5.081262,3.58028,2.373397,2.288155,3.284999
PRR22,5.844293,6.234337,5.940757,6.007109,5.948895,5.970052,5.999022,7.565526,6.601394,6.332132,5.822125,6.381732
PXK,6.592115,7.087724,6.835887,6.67713,6.377801,7.123698,5.641386,3.907659,3.800793,5.971768,6.329785,3.930608
VPS18,5.0711,5.209108,4.980666,4.636346,5.016819,5.072908,6.039786,5.757963,4.967744,5.925685,4.88306,5.899914
MSANTD3,7.562025,7.990746,8.292449,8.068805,8.069855,7.804937,5.392471,7.15304,4.410927,6.796678,6.800628,7.698017
SLC46A1,3.207205,3.520913,3.738309,4.460491,3.29171,3.779155,4.647504,4.098198,3.909961,3.4642,4.368271,6.735968
TIMD4,4.58358,5.58295,4.176439,4.864917,4.399265,5.480944,5.304548,5.153879,5.297793,4.937079,5.673825,4.264984
SLC39A5,5.790931,5.620897,5.628071,5.530191,5.42332,5.790998,6.364755,4.415144,6.818578,6.486513,5.799318,6.594599
ZDHHC11,6.303288,7.085893,6.207213,6.530702,5.385311,6.52212,6.789585,5.395024,4.113411,3.818904,5.671816,5.315027
