"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"TAS2R45",-0.973609972222222,5.38460851388889,-3.96293578030215,0.0015846558418036,0.168607381567904,-0.92947350191587,"Stable"
"RRP12",0.969500347222221,6.27912536805556,3.90362282758762,0.00177386857718334,0.173598170011488,-1.02986041881431,"Stable"
"RALY",-0.964137500000001,9.38977505555556,-3.66775470541901,0.00278528738407711,0.188313121046584,-1.43202449263598,"Stable"
"CYBA",-0.996448180555555,7.79607500694444,-3.51349804630493,0.00374824112285298,0.197316993910349,-1.69702427792539,"Stable"
"PHF23",-0.989896513888889,5.12331257638889,-3.43271007914507,0.00438079406868905,0.205628730156605,-1.83622570747437,"Stable"
"BGLAP",-0.980912708333335,6.35488191666667,-3.4078322758971,0.00459651071232268,0.20807389706463,-1.87913071758141,"Stable"
"LYPD1",0.941922833333333,5.51888379166667,3.40244168792076,0.00464464697324197,0.20807389706463,-1.88842942957695,"Stable"
"POU5F1B",0.950683666666666,7.05564911111111,3.39177330823768,0.00474141515550295,0.208908640679753,-1.90683411954678,"Stable"
"TSPEAR",0.919354777777777,5.55182366666667,3.36315433796281,0.00501115681511005,0.209884689756237,-1.95621711067967,"Stable"
"C1orf180",0.84251398611111,5.01321159027778,3.36131877311087,0.00502897571763832,0.209884689756237,-1.95938489984608,"Stable"
"NAV1",-0.988486298611111,8.43990928125,-3.34931246217195,0.00514711098763985,0.209884689756237,-1.98010636495618,"Stable"
"SH3PXD2B",0.983372722222222,6.72971104166667,3.34321434261953,0.00520817815182126,0.210827682418768,-1.9906317000221,"Stable"
"GREB1L",0.991117291666666,6.81298714583333,3.33937272806241,0.00524702205766868,0.210827682418768,-1.99726253363723,"Stable"
"C16orf91",-0.830658534722222,6.14513779513889,-3.33811801143587,0.00525977194923402,0.210827682418768,-1.99942827663562,"Stable"
"IP6K1",-0.976033263888887,6.60770185416667,-3.33277281151303,0.00531443755105197,0.21143046829123,-2.0086547060443,"Stable"
"ABHD11",0.888376944444444,6.31125213888889,3.31704162114187,0.00547865780789242,0.21301837570934,-2.03581001013881,"Stable"
"PRND",0.850075701388889,3.65116726736111,3.30825842932498,0.00557255549658659,0.213766617326569,-2.05097237768036,"Stable"
"GBA",-0.983931013888889,6.72324713194444,-3.30682254746969,0.00558805897715021,0.213766617326569,-2.05345117092235,"Stable"
"VEGFC",0.940027993055555,4.90727769097222,3.29978306176801,0.00566469469865362,0.214143669592716,-2.06560371343841,"Stable"
"KLK3",0.870413437500002,5.89128864236111,3.2962136259259,0.00570395591931751,0.214143669592716,-2.07176583961662,"Stable"
"ZNF135",0.995249791666666,7.14032297916667,3.28869782680369,0.00578751986689503,0.214143669592716,-2.08474090636594,"Stable"
"TBX18",0.931176368055555,3.36716189236111,3.28807880827095,0.00579445692104216,0.214143669592716,-2.08580956711142,"Stable"
"SNCG",0.968348805555554,6.403028625,3.26382382646527,0.00607294177605245,0.217409414818428,-2.12768277083642,"Stable"
"PSMB5",-0.995617416666668,8.43423154166667,-3.26012775253774,0.00611654164918662,0.217449188033927,-2.13406347240394,"Stable"
"ST6GAL2",0.987927236111111,4.12554502083333,3.25493806209747,0.00617829087633661,0.217449188033927,-2.14302257489122,"Stable"
"BCDIN3D",-0.971597611111112,6.28562838888889,-3.25095611130375,0.0062260932790064,0.217499622650633,-2.14989663146793,"Stable"
"PSMB8",-0.901876749999998,10.8090868888889,-3.23966681935451,0.00636364349721237,0.218578990876061,-2.16938482842336,"Stable"
"RP11-48G14.2",-0.877961402777777,3.38140850694444,-3.22933259950577,0.00649222464143497,0.219586709134588,-2.18722342868922,"Stable"
"MAP1LC3C",-0.784549652777776,7.96054122916667,-3.21591805735601,0.00666302064972793,0.219586709134588,-2.2103775367036,"Stable"
"UBN2",-0.984631715277776,5.23397251041667,-3.20654208612779,0.00678506056941289,0.219586709134588,-2.22655955055625,"Stable"
"MLXIP",0.934672333333333,5.09385552777778,3.20589543203284,0.00679355957147556,0.219586709134588,-2.22767556697757,"Stable"
"PPP2R5B",0.884732097222221,6.25648154861111,3.20266530959141,0.00683617296574184,0.219586709134588,-2.2332501224408,"Stable"
"FAM103A1",-0.977177916666667,7.65142375,-3.18110241807236,0.00712757284959223,0.220751255033577,-2.27045897293646,"Stable"
"ZNF251",-0.928181513888888,8.41952922916667,-3.17340570669899,0.00723456628824971,0.220751255033577,-2.28373826720002,"Stable"
"ST3GAL2",0.88239607638889,6.11411998958333,3.17176660516595,0.00725755824461431,0.220751255033577,-2.28656608234379,"Stable"
"RPS6KA2",0.82757007638889,6.28584164236111,3.16760556523041,0.0073162543265536,0.220751255033577,-2.29374453868286,"Stable"
"HES4",-0.972215333333335,6.32635422222222,-3.16078153710151,0.00741354318892146,0.221055604057245,-2.30551622067416,"Stable"
"GCC1",-0.786100493055555,5.82448597569444,-3.16019722820283,0.00742193338787451,0.221055604057245,-2.3065241225369,"Stable"
"TSPAN3",-0.946127215277778,4.82655576041667,-3.15066982977631,0.00756008463326843,0.221723712911088,-2.32295718860203,"Stable"
"SS18L2",-0.945177208333336,9.08559077083333,-3.12610313390369,0.00792826970218481,0.221862327406577,-2.36531899881834,"Stable"
"SCNN1G",0.862291194444444,4.55643486111111,3.12525905105741,0.00794123311509645,0.221862327406577,-2.36677418356035,"Stable"
"ZBTB17",0.840813819444444,6.93999072916667,3.11518550659653,0.00809758349759896,0.221862327406577,-2.38413904087001,"Stable"
"SLC6A6",-0.943308472222223,5.14927097222222,-3.11370683644892,0.00812079064812341,0.221862327406577,-2.38668770269807,"Stable"
"TTTY1",0.94601261111111,7.08056968055556,3.10933890293538,0.00818973153440183,0.222768488205679,-2.39421591390504,"Stable"
"TESK1",-0.845428048611113,7.09131894097222,-3.10439260750446,0.008268505439896,0.222834245807145,-2.40274013835456,"Stable"
"LOC283713",-0.964429833333333,4.23029863888889,-3.10368972365815,0.00827976055537611,0.222834245807145,-2.40395138624888,"Stable"
"SRRM5",-0.907539861111111,4.90116886111111,-3.09924814126983,0.00835123641257153,0.223246677581867,-2.41160494879652,"Stable"
"PPRC1",-0.851586222222224,7.564836625,-3.08102779749361,0.00865093444588342,0.224539989231321,-2.44299368655622,"Stable"
"KRT83",0.855512708333335,6.26594672222222,3.0414132204183,0.0093399744357169,0.227541272834355,-2.51119012386953,"Stable"
"AC005838.2",0.719255166666667,4.94859456944444,3.03981999492486,0.00936879954965481,0.22788794249744,-2.51393131652608,"Stable"
"LOC285000",-0.991224250000001,4.31892841666667,-3.03679528012233,0.00942376700277489,0.228608795286827,-2.51913507848033,"Stable"
"NPR2",-0.867123097222222,6.04824454861111,-3.0243626405602,0.00965308708355878,0.230264880212191,-2.54051940861428,"Stable"
"RASL11B",0.895029277777778,4.95657422222222,3.02131848775336,0.00971007583147642,0.230901969564298,-2.54575414936575,"Stable"
"FREM1",-0.961056680555556,5.22659174305556,-3.01228028000726,0.00988125288541046,0.232209030112966,-2.56129330142605,"Stable"
"LOC101929740",-0.793627305555555,5.09480915277778,-3.00355039850492,0.0100494325755815,0.233226584818073,-2.57629797651733,"Stable"
"DIAPH3-AS1",0.991191493055553,6.74692584375,2.99774731304253,0.0101627960033316,0.234346330110898,-2.58626969883508,"Stable"
"GNPTG",-0.926117277777779,8.81983476388889,-2.9957535032643,0.0102020371166465,0.234346330110898,-2.58969529555353,"Stable"
"CCL21",0.885976458333333,6.21946577083333,2.99399845052322,0.0102367034506882,0.234505313953914,-2.59271048154887,"Stable"
"RP11-540O11.1",0.998233951388888,6.62009460763889,2.99128170982968,0.0102905957908207,0.235172496814001,-2.59737748098538,"Stable"
"DCC",0.912687520833333,3.67876305208333,2.99038141677868,0.0103085169988327,0.235216942161508,-2.59892396509057,"Stable"
"C11orf88",0.733855784722222,5.13586410763889,2.98265255705893,0.0104636457316686,0.236528023475941,-2.61219819143523,"Stable"
"INF2",-0.963077819444447,10.0447354513889,-2.97921453703411,0.0105333928063232,0.23686705908756,-2.61810174008369,"Stable"
"LOC286437",0.876746416666667,4.02735134722222,2.97893086417389,0.0105391682048387,0.23686705908756,-2.61858881125637,"Stable"
"KNSTRN",-0.952078222222223,9.96178088888889,-2.97635426113786,0.0105917700720509,0.23686705908756,-2.62301264538886,"Stable"
"OR2L2",0.844421124999999,5.41623296527778,2.97128241473645,0.0106960738359496,0.238235343172187,-2.6317193628051,"Stable"
"CDC42BPB",-0.846566361111111,3.58064927777778,-2.96934125237445,0.0107362629603427,0.238235343172187,-2.63505126163093,"Stable"
"UBAP2",-0.971813208333335,5.60822385416667,-2.96497214418076,0.0108272672916226,0.238235343172187,-2.64254967635355,"Stable"
"A4GNT",0.980043569444446,6.32512420138889,2.9640013859046,0.0108475907316891,0.238235343172187,-2.64421555082117,"Stable"
"CST9L",0.830561680555554,5.44743432638889,2.95636700699798,0.0110087431991222,0.238235343172187,-2.6573143186643,"Stable"
"CES1P1",0.813322722222222,5.90411509722222,2.95464268436479,0.0110454683398083,0.238235343172187,-2.66027228561896,"Stable"
"TOB2",-0.994325486111105,11.1500399930556,-2.95228732892755,0.0110958293957958,0.238235343172187,-2.66431241276742,"Stable"
"TMEM105",0.99348398611111,7.05866607638889,2.95122128206272,0.0111186977157746,0.238235343172187,-2.66614086798532,"Stable"
"RP11-18I14.11",0.950527652777778,6.87285790972222,2.93996977570081,0.0113629209438298,0.23915958705217,-2.68543418350349,"Stable"
"CNTN3",-0.67836201388889,5.45539490972222,-2.93957567217564,0.0113715707849341,0.23915958705217,-2.68610979844595,"Stable"
"LOC101928845",0.812600902777779,6.10045084027778,2.93883421721678,0.0113878619982946,0.23915958705217,-2.6873808497943,"Stable"
"ASB13",-0.934557388888889,6.69960016666667,-2.93854967574517,0.0113941200562484,0.23915958705217,-2.68786861890939,"Stable"
"ZNF460",-0.748190124999999,6.42027170138889,-2.93659484744519,0.0114372055679553,0.23915958705217,-2.69121947924188,"Stable"
"LINC00421",0.828485888888889,5.38868677777778,2.93332745264452,0.0115095807079554,0.239263825307964,-2.69681963380986,"Stable"
"PFDN4",0.984272388888889,6.24025744444444,2.93257002291434,0.0115264228612949,0.239263825307964,-2.69811771690616,"Stable"
"ARHGEF17",0.938503819444445,6.66527063194444,2.92677390318395,0.0116561140128534,0.239582800856948,-2.70804966719619,"Stable"
"IFI44L",-0.898316270833336,8.81189868402778,-2.92100683462469,0.0117865862285911,0.240882810956045,-2.71792927549695,"Stable"
"ADAT2",-0.933073249999999,6.30691316666667,-2.92014691376481,0.0118061640163025,0.240882810956045,-2.71940219058688,"Stable"
"IL12RB1",-0.873011972222221,11.5934398611111,-2.91546988172249,0.0119132097048943,0.241271884821662,-2.72741222321791,"Stable"
"ZC3H7B",-0.987902409722227,7.33783733680556,-2.91180223029124,0.0119978233251536,0.24151625588166,-2.73369234200278,"Stable"
"PSMB9",-0.76569316666667,10.1463298888889,-2.91173727687383,0.011999327152523,0.24151625588166,-2.7338035520033,"Stable"
"IRX2",-0.929694340277779,4.51800433680556,-2.9051519670929,0.0121527628343612,0.241615825410574,-2.74507681597405,"Stable"
"DGKD",-0.805639902777779,8.28552706944444,-2.90383683808932,0.0121836361789917,0.241615825410574,-2.74732773527992,"Stable"
"LOC102724517",-0.975188194444445,5.48099080555556,-2.90315143552861,0.0121997570416482,0.241615825410574,-2.74850078487154,"Stable"
"PABPC1P1",0.717047305555555,5.72868898611111,2.90001981861848,0.0122736818331888,0.241615825410574,-2.75385997487367,"Stable"
"SPTAN1",-0.909754555555555,9.30452719444444,-2.89428378547223,0.0124102345894606,0.242373578289975,-2.76367402004655,"Stable"
"NDUFB7",-0.928344298611114,9.04473660763889,-2.88878757974007,0.012542483849854,0.242963922797632,-2.7730751146613,"Stable"
"RNF208",-0.806672187499999,6.27842810763889,-2.88876128176137,0.0125431199597213,0.242963922797632,-2.77312009033427,"Stable"
"GALK2",-0.854192840277779,6.96493896875,-2.88875408813914,0.0125432939685261,0.242963922797632,-2.77313239309454,"Stable"
"LINC01271",0.981426916666667,6.24981633333333,2.88768905236043,0.0125690827460451,0.243042483542506,-2.7749538016775,"Stable"
"CELP",0.936140083333333,5.64273172916667,2.88513529595669,0.012631132632012,0.243042483542506,-2.77932079814126,"Stable"
