"model","strategy","cohort","time_month","threshold","net_benefit"
"cox","refit","training",6,0.01,0.372025383395029
"cox","refit","training",6,0.02,0.365617479143958
"cox","refit","training",6,0.03,0.359077453155751
"cox","refit","training",6,0.04,0.352401176626124
"cox","refit","training",6,0.05,0.345584346906399
"cox","refit","training",6,0.06,0.338816565476282
"cox","refit","training",6,0.07,0.33181581685744
"cox","refit","training",6,0.08,0.325124901956223
"cox","refit","training",6,0.09,0.318419897140353
"cox","refit","training",6,0.1,0.311250771724031
"cox","refit","training",6,0.11,0.303957656298954
"cox","refit","training",6,0.12,0.297758965664712
"cox","refit","training",6,0.13,0.289631456639679
"cox","refit","training",6,0.14,0.28476635518473
"cox","refit","training",6,0.15,0.279181204551119
"cox","refit","training",6,0.16,0.273511510041683
"cox","refit","training",6,0.17,0.266514413734342
"cox","refit","training",6,0.18,0.260553160166985
"cox","refit","training",6,0.19,0.251102756566758
"cox","refit","training",6,0.2,0.248154396851459
"cox","refit","training",6,0.21,0.240314294320181
"cox","refit","training",6,0.22,0.237554797353185
"cox","refit","training",6,0.23,0.229703428292138
"cox","refit","training",6,0.24,0.222145858754117
"cox","refit","training",6,0.25,0.219586759434957
"cox","refit","training",6,0.26,0.217909946236559
"cox","refit","training",6,0.27,0.214263152615031
"cox","refit","training",6,0.28,0.211244968496881
"cox","refit","training",6,0.29,0.204989021318185
"cox","refit","training",6,0.3,0.198319810240875
"cox","refit","training",6,0.31,0.197382603501117
"cox","refit","training",6,0.32,0.194314687926723
"cox","refit","training",6,0.33,0.188874620021335
"cox","refit","training",6,0.34,0.184922473972665
"cox","refit","training",6,0.35,0.178057596869632
"cox","refit","training",6,0.36,0.163703211699426
"cox","refit","training",6,0.37,0.160893874247227
"cox","refit","training",6,0.38,0.156589724407159
"cox","refit","training",6,0.39,0.153152902307597
"cox","refit","training",6,0.4,0.145964574055972
"cox","refit","training",6,0.41,0.146419406719798
"cox","refit","training",6,0.42,0.141129032258064
"cox","refit","training",6,0.43,0.136191398762254
"cox","refit","training",6,0.44,0.134427372582614
"cox","refit","training",6,0.45,0.126765970515971
"cox","refit","training",6,0.46,0.12148767644586
"cox","refit","training",6,0.47,0.119935129329084
"cox","refit","training",6,0.48,0.115886437855977
"cox","refit","training",6,0.49,0.106350330799907
"cox","refit","training",6,0.5,0.0988606526631658
"cox","refit","training",6,0.51,0.0946735561135793
"cox","refit","training",6,0.52,0.0919675782326992
"cox","refit","training",6,0.53,0.0905103303531251
"cox","refit","training",6,0.54,0.0867998184403159
"cox","refit","training",6,0.55,0.0836213517665131
"cox","refit","training",6,0.56,0.082457938223773
"cox","refit","training",6,0.57,0.0791000306894906
"cox","refit","training",6,0.58,0.07903972520908
"cox","refit","training",6,0.59,0.0794087299470589
"cox","refit","training",6,0.6,0.0812874678846703
"cox","refit","training",6,0.61,0.0832289383025368
"cox","refit","training",6,0.62,0.0785674015194389
"cox","refit","training",6,0.63,0.0701644450052769
"cox","refit","training",6,0.64,0.0670860712863401
"cox","refit","training",6,0.65,0.059678728529535
"cox","refit","training",6,0.66,0.0640527268254972
"cox","refit","training",6,0.67,0.051749008906267
"cox","refit","training",6,0.68,0.049773185483871
"cox","refit","training",6,0.69,0.0458506763787721
"cox","refit","training",6,0.7,0.0446908602150538
"cox","refit","training",6,0.71,0.0426167964404894
"cox","refit","training",6,0.72,0.0455069124423963
"cox","refit","training",6,0.73,0.0453255675029869
"cox","refit","training",6,0.74,0.0407102977667494
"cox","refit","training",6,0.75,0.0372983870967742
"cox","refit","training",6,0.76,0.0319220430107527
"cox","refit","training",6,0.77,0.0257713884992987
"cox","refit","training",6,0.78,0.0229105571847507
"cox","refit","training",6,0.79,0.0261616743471582
"cox","refit","training",6,0.8,0.0231854838709678
"cox","refit","training",6,0.81,0.0140598471986418
"cox","refit","training",6,0.82,0.00985663082437275
"cox","refit","training",6,0.83,0.00652277039848197
"cox","refit","training",6,0.84,0.00100806451612902
"cox","refit","training",6,0.85,-0.00571236559139784
"cox","refit","training",6,0.86,-0.0126728110599078
"cox","refit","training",6,0.87,-0.0158964019851117
"cox","refit","training",6,0.88,-0.0120967741935484
"cox","refit","training",6,0.89,-0.0164039589442815
"cox","refit","training",6,0.9,-0.0100806451612903
"cox","refit","training",6,0.91,-0.014336917562724
"cox","refit","training",6,0.92,-0.00655241935483871
"cox","refit","training",6,0.93,-0.00835253456221199
"cox","refit","training",6,0.94,-0.0117607526881721
"cox","refit","training",6,0.95,-0.0151209677419355
"cox","refit","training",6,0.96,0.0030241935483871
"cox","refit","training",6,0.97,0.0030241935483871
"cox","refit","training",6,0.98,0.00100806451612903
"cox","refit","training",6,0.99,NA
"cox","refit","validation",6,0.01,0.345304900860457
"cox","refit","validation",6,0.02,0.338624338624339
"cox","refit","validation",6,0.03,0.331806032836961
"cox","refit","validation",6,0.04,0.324845679012346
"cox","refit","validation",6,0.05,0.318390962640586
"cox","refit","validation",6,0.06,0.311531189702283
"cox","refit","validation",6,0.07,0.300872172627197
"cox","refit","validation",6,0.08,0.294292165511447
"cox","refit","validation",6,0.09,0.288149627096496
"cox","refit","validation",6,0.1,0.282594086021505
"cox","refit","validation",6,0.11,0.271209481623413
"cox","refit","validation",6,0.12,0.265375321682925
"cox","refit","validation",6,0.13,0.255026934552112
"cox","refit","validation",6,0.14,0.251422648442859
"cox","refit","validation",6,0.15,0.249024878768712
"cox","refit","validation",6,0.16,0.243364788829631
"cox","refit","validation",6,0.17,0.23537980001303
"cox","refit","validation",6,0.18,0.225904799370574
"cox","refit","validation",6,0.19,0.220335402278754
"cox","refit","validation",6,0.2,0.217332409274194
"cox","refit","validation",6,0.21,0.210609333631897
"cox","refit","validation",6,0.22,0.194995864350703
"cox","refit","validation",6,0.23,0.19053374698536
"cox","refit","validation",6,0.24,0.179162624302692
"cox","refit","validation",6,0.25,0.177893738140417
"cox","refit","validation",6,0.26,0.169899738448125
"cox","refit","validation",6,0.27,0.161456031816173
"cox","refit","validation",6,0.28,0.155913978494624
"cox","refit","validation",6,0.29,0.147376192639709
"cox","refit","validation",6,0.3,0.14573732718894
"cox","refit","validation",6,0.31,0.156030855539972
