"strategy","cohort","time_month","threshold","net_benefit"
"refit","training",6,0.01,0.372025383395029
"refit","training",6,0.02,0.365617479143958
"refit","training",6,0.03,0.359077453155751
"refit","training",6,0.04,0.352401176626124
"refit","training",6,0.05,0.345637749618345
"refit","training",6,0.06,0.339528283001601
"refit","training",6,0.07,0.332959406369363
"refit","training",6,0.08,0.327061642830574
"refit","training",6,0.09,0.3210221369287
"refit","training",6,0.1,0.314622855465728
"refit","training",6,0.11,0.308215725806452
"refit","training",6,0.12,0.302489973945266
"refit","training",6,0.13,0.297189818584223
"refit","training",6,0.14,0.292894298772582
"refit","training",6,0.15,0.287202297343198
"refit","training",6,0.16,0.284092087710788
"refit","training",6,0.17,0.277354813416931
"refit","training",6,0.18,0.272939184384555
"refit","training",6,0.19,0.26610944630511
"refit","training",6,0.2,0.262036459357789
"refit","training",6,0.21,0.258870673428301
"refit","training",6,0.22,0.254069322050364
"refit","training",6,0.23,0.249867259910252
"refit","training",6,0.24,0.243982833262468
"refit","training",6,0.25,0.241795679303038
"refit","training",6,0.26,0.233322971982246
"refit","training",6,0.27,0.230069479983023
"refit","training",6,0.28,0.228184318082071
"refit","training",6,0.29,0.224066290532569
"refit","training",6,0.3,0.219944102173612
"refit","training",6,0.31,0.219427067137136
"refit","training",6,0.32,0.220088660993691
"refit","training",6,0.33,0.214033939036741
"refit","training",6,0.34,0.207708238504225
"refit","training",6,0.35,0.205006103686161
"refit","training",6,0.36,0.199867166498656
"refit","training",6,0.37,0.198193282071202
"refit","training",6,0.38,0.199373248118045
"refit","training",6,0.39,0.195536282655509
"refit","training",6,0.4,0.196154494481706
"refit","training",6,0.41,0.195268948724163
"refit","training",6,0.42,0.185196445470091
"refit","training",6,0.43,0.18967685105597
"refit","training",6,0.44,0.183214769993067
"refit","training",6,0.45,0.176094865268633
"refit","training",6,0.46,0.182756765951737
"refit","training",6,0.47,0.173805649877382
"refit","training",6,0.48,0.162330905306972
"refit","training",6,0.49,0.158387510665665
"refit","training",6,0.5,0.149611175115207
"refit","training",6,0.51,0.148102569473537
"refit","training",6,0.52,0.141733870967742
"refit","training",6,0.53,0.140480664288849
"refit","training",6,0.54,0.132273690468931
"refit","training",6,0.55,0.125744047619048
"refit","training",6,0.56,0.122181382262027
"refit","training",6,0.57,0.115854679207185
"refit","training",6,0.58,0.113389435141671
"refit","training",6,0.59,0.110277999707998
"refit","training",6,0.6,0.108234295415959
"refit","training",6,0.61,0.105659037482043
"refit","training",6,0.62,0.104948439188146
"refit","training",6,0.63,0.102127032155495
"refit","training",6,0.64,0.0983655149051491
"refit","training",6,0.65,0.097578400861811
"refit","training",6,0.66,0.0949703338558425
"refit","training",6,0.67,0.0846866761456204
"refit","training",6,0.68,0.0824092741935484
"refit","training",6,0.69,0.0836127102144943
"refit","training",6,0.7,0.087574156470152
"refit","training",6,0.71,0.0774819243604004
"refit","training",6,0.72,0.0705645161290323
"refit","training",6,0.73,0.0690337514934289
"refit","training",6,0.74,0.0618021091811414
"refit","training",6,0.75,0.0493951612903226
"refit","training",6,0.76,0.0379704301075269
"refit","training",6,0.77,0.0265164796633941
"refit","training",6,0.78,0.0175953079178886
"refit","training",6,0.79,0.0113287250384025
"refit","training",6,0.8,0.00705645161290323
"refit","training",6,0.81,0.00403225806451613
"refit","training",6,0.82,0.00100806451612903
"refit","training",6,0.83,NA
"refit","training",6,0.84,NA
"refit","training",6,0.85,NA
"refit","training",6,0.86,NA
"refit","training",6,0.87,NA
"refit","training",6,0.88,NA
"refit","training",6,0.89,NA
"refit","training",6,0.9,NA
"refit","training",6,0.91,NA
"refit","training",6,0.92,NA
"refit","training",6,0.93,NA
"refit","training",6,0.94,NA
"refit","training",6,0.95,NA
"refit","training",6,0.96,NA
"refit","training",6,0.97,NA
"refit","training",6,0.98,NA
"refit","training",6,0.99,NA
"refit","validation",6,0.01,0.345304900860457
"refit","validation",6,0.02,0.338624338624339
"refit","validation",6,0.03,0.331806032836961
"refit","validation",6,0.04,0.324845679012346
"refit","validation",6,0.05,0.317738791423002
"refit","validation",6,0.06,0.310480693459417
"refit","validation",6,0.07,0.303066507367583
"refit","validation",6,0.08,0.29549114331723
"refit","validation",6,0.09,0.287749287749288
"refit","validation",6,0.1,0.279835390946502
"refit","validation",6,0.11,0.271743653766126
"refit","validation",6,0.12,0.263468013468014
"refit","validation",6,0.13,0.255610238766588
"refit","validation",6,0.14,0.247663551401869
"refit","validation",6,0.15,0.239624814032837
"refit","validation",6,0.16,0.233813088439574
"refit","validation",6,0.17,0.229083316186949
"refit","validation",6,0.18,0.221573504215474
"refit","validation",6,0.19,0.222441844121161
"refit","validation",6,0.2,0.213180856689582
"refit","validation",6,0.21,0.207065856173114
"refit","validation",6,0.22,0.202147284876535
"refit","validation",6,0.23,0.197004302055236
"refit","validation",6,0.24,0.196323118455325
"refit","validation",6,0.25,0.200764006791171
"refit","validation",6,0.26,0.203692797121074
"refit","validation",6,0.27,0.202951075860156
"refit","validation",6,0.28,0.209677419354839
"refit","validation",6,0.29,0.217989711032395
"refit","validation",6,0.3,0.206378299120235
"refit","validation",6,0.31,0.202152335742799
"refit","validation",6,0.32,0.201612903225806
"refit","validation",6,0.33,0.192886374578719
"refit","validation",6,0.34,0.18291788856305
"refit","validation",6,0.35,0.17741935483871
"refit","validation",6,0.36,0.164314516129032
"refit","validation",6,0.37,0.166154633896569
"refit","validation",6,0.38,0.170265348595213
"refit","validation",6,0.39,0.173453199365415
"refit","validation",6,0.4,0.165322580645161
"refit","validation",6,0.41,0.168193001640241
"refit","validation",6,0.42,0.159343715239155
"refit","validation",6,0.43,0.143817204301075
"refit","validation",6,0.44,0.138824884792627
"refit","validation",6,0.45,0.136730205278592
"refit","validation",6,0.46,0.140830346475508
"refit","validation",6,0.47,0.142118076688984
"refit","validation",6,0.48,0.136166253101737
"refit","validation",6,0.49,0.118358633776091
"refit","validation",6,0.5,0.120967741935484
"refit","validation",6,0.51,0.115783410138249
"refit","validation",6,0.52,0.123319892473118
"refit","validation",6,0.53,0.118393960192176
"refit","validation",6,0.54,0.118162692847125
"refit","validation",6,0.55,0.106182795698925
"refit","validation",6,0.56,0.101539589442815
"refit","validation",6,0.57,0.103525881470368
"refit","validation",6,0.58,0.092741935483871
"refit","validation",6,0.59,0.0766129032258065
"refit","validation",6,0.6,0.0766129032258065
"refit","validation",6,0.61,0.0645161290322581
"refit","validation",6,0.62,0.0524193548387097
"refit","validation",6,0.63,0.0483870967741935
"refit","validation",6,0.64,0.0403225806451613
"refit","validation",6,0.65,0.0201612903225806
"refit","validation",6,0.66,0.00806451612903226
"refit","validation",6,0.67,0.00403225806451613
"refit","validation",6,0.68,0.00403225806451613
"refit","validation",6,0.69,0.00403225806451613
"refit","validation",6,0.7,0.00403225806451613
"refit","validation",6,0.71,0.00403225806451613
"refit","validation",6,0.72,NA
"refit","validation",6,0.73,NA
"refit","validation",6,0.74,NA
"refit","validation",6,0.75,NA
"refit","validation",6,0.76,NA
"refit","validation",6,0.77,NA
"refit","validation",6,0.78,NA
"refit","validation",6,0.79,NA
"refit","validation",6,0.8,NA
"refit","validation",6,0.81,NA
"refit","validation",6,0.82,NA
"refit","validation",6,0.83,NA
"refit","validation",6,0.84,NA
"refit","validation",6,0.85,NA
"refit","validation",6,0.86,NA
"refit","validation",6,0.87,NA
"refit","validation",6,0.88,NA
"refit","validation",6,0.89,NA
"refit","validation",6,0.9,NA
"refit","validation",6,0.91,NA
"refit","validation",6,0.92,NA
"refit","validation",6,0.93,NA
"refit","validation",6,0.94,NA
"refit","validation",6,0.95,NA
"refit","validation",6,0.96,NA
"refit","validation",6,0.97,NA
"refit","validation",6,0.98,NA
"refit","validation",6,0.99,NA
"external","validation",6,0.01,0.345304900860457
"external","validation",6,0.02,0.338624338624339
"external","validation",6,0.03,0.331806032836961
"external","validation",6,0.04,0.324845679012346
"external","validation",6,0.05,0.317738791423002
"external","validation",6,0.06,0.311005843526899
"external","validation",6,0.07,0.303684019437178
"external","validation",6,0.08,0.296559041015612
"external","validation",6,0.09,0.28977048406417
"external","validation",6,0.1,0.283010495446828
"external","validation",6,0.11,0.268199484828118
"external","validation",6,0.12,0.262055241754908
"external","validation",6,0.13,0.25139043381535
"external","validation",6,0.14,0.242747542555742
"external","validation",6,0.15,0.237803355637671
"external","validation",6,0.16,0.220198440526281
"external","validation",6,0.17,0.216572724489596
"external","validation",6,0.18,0.215139150641319
"external","validation",6,0.19,0.202446361756773
"external","validation",6,0.2,0.195010702907208
"external","validation",6,0.21,0.189790475704369
"external","validation",6,0.22,0.189232810200552
"external","validation",6,0.23,0.171072545271434
"external","validation",6,0.24,0.160741467127217
"external","validation",6,0.25,0.153483184625944
"external","validation",6,0.26,0.147893802246269
"external","validation",6,0.27,0.154290955842186
"external","validation",6,0.28,0.150806451612903
"external","validation",6,0.29,0.13932481854604
"external","validation",6,0.3,0.12975107329946
"external","validation",6,0.31,0.127766090073243
"external","validation",6,0.32,0.121283997469956
"external","validation",6,0.33,0.104819641810113
"external","validation",6,0.34,0.104756418696511
"external","validation",6,0.35,0.105378142194411
"external","validation",6,0.36,0.100458843159066
"external","validation",6,0.37,0.0865297731996024
"external","validation",6,0.38,0.0749029212456537
"external","validation",6,0.39,0.0804607698516518
"external","validation",6,0.4,0.0789463859020311
"external","validation",6,0.41,0.0820278761657989
"external","validation",6,0.42,0.0804713570634038
"external","validation",6,0.43,0.0869183620615234
"external","validation",6,0.44,0.0847545671494404
"external","validation",6,0.45,0.0937852470110535
"external","validation",6,0.46,0.0962469217077512
"external","validation",6,0.47,0.110429730074028
"external","validation",6,0.48,0.103016439205955
"external","validation",6,0.49,0.0917418841991897
"external","validation",6,0.5,0.0971407624633431
"external","validation",6,0.51,0.0945972230534443
"external","validation",6,0.52,0.0923083593479015
"external","validation",6,0.53,0.0820668693009119
"external","validation",6,0.54,0.0811711079943899
"external","validation",6,0.55,0.0840800477897252
"external","validation",6,0.56,0.0779264418377322
"external","validation",6,0.57,0.0812893440751492
"external","validation",6,0.58,0.0751602885193348
"external","validation",6,0.59,0.0727773406766326
"external","validation",6,0.6,0.0665322580645161
"external","validation",6,0.61,0.0561414392059553
"external","validation",6,0.62,0.0602716468590832
"external","validation",6,0.63,0.0539450741063644
"external","validation",6,0.64,0.0586917562724014
"external","validation",6,0.65,0.0714285714285714
"external","validation",6,0.66,0.0697343453510436
"external","validation",6,0.67,0.0679374389051808
"external","validation",6,0.68,0.0619959677419355
"external","validation",6,0.69,0.0559313215400624
"external","validation",6,0.7,0.0497311827956989
"external","validation",6,0.71,0.039349276974416
"external","validation",6,0.72,0.0455069124423963
"external","validation",6,0.73,0.0318100358422939
"external","validation",6,0.74,0.0334987593052109
"external","validation",6,0.75,0.0201612903225806
"external","validation",6,0.76,0.0315860215053764
"external","validation",6,0.77,0.0106942496493689
"external","validation",6,0.78,-0.00219941348973607
"external","validation",6,0.79,-0.00710445468509984
"external","validation",6,0.8,0.00403225806451613
"external","validation",6,0.81,NA
"external","validation",6,0.82,NA
"external","validation",6,0.83,NA
"external","validation",6,0.84,NA
"external","validation",6,0.85,NA
"external","validation",6,0.86,NA
"external","validation",6,0.87,NA
"external","validation",6,0.88,NA
"external","validation",6,0.89,NA
"external","validation",6,0.9,NA
"external","validation",6,0.91,NA
"external","validation",6,0.92,NA
"external","validation",6,0.93,NA
"external","validation",6,0.94,NA
"external","validation",6,0.95,NA
"external","validation",6,0.96,NA
"external","validation",6,0.97,NA
"external","validation",6,0.98,NA
"external","validation",6,0.99,NA
"refit","training",12,0.01,0.59560479907748
"refit","training",12,0.02,0.591478317435413
"refit","training",12,0.03,0.587266753697634
"refit","training",12,0.04,0.582967449048651
"refit","training",12,0.05,0.578577632722847
"refit","training",12,0.06,0.574094416049686
"refit","training",12,0.07,0.569514786114737
"refit","training",12,0.08,0.564835599007288
"refit","training",12,0.09,0.560053572622753
"refit","training",12,0.1,0.555165278985228
"refit","training",12,0.11,0.550167136052478
"refit","training",12,0.12,0.545055398962165
"refit","training",12,0.13,0.539978142754037
"refit","training",12,0.14,0.535964765774907
"refit","training",12,0.15,0.531688271920989
"refit","training",12,0.16,0.5260569488895
"refit","training",12,0.17,0.52121364712919
"refit","training",12,0.18,0.516326017951314
"refit","training",12,0.19,0.51139242018315
"refit","training",12,0.2,0.506664767592629
"refit","training",12,0.21,0.501380338756939
"refit","training",12,0.22,0.4968701841869
"refit","training",12,0.23,0.49146537713299
"refit","training",12,0.24,0.487572000255873
"refit","training",12,0.25,0.482073920318356
"refit","training",12,0.26,0.477607664940019
"refit","training",12,0.27,0.471770483967293
"refit","training",12,0.28,0.466920086532689
"refit","training",12,0.29,0.462460553997195
"refit","training",12,0.3,0.456281213131488
"refit","training",12,0.31,0.451671621407344
"refit","training",12,0.32,0.44960472741987
"refit","training",12,0.33,0.439749377926092
"refit","training",12,0.34,0.434370437674901
"refit","training",12,0.35,0.431113837206467
"refit","training",12,0.36,0.42507674183822
"refit","training",12,0.37,0.422114294281856
"refit","training",12,0.38,0.421146546288375
"refit","training",12,0.39,0.415071212200257
"refit","training",12,0.4,0.408674236845375
"refit","training",12,0.41,0.403761909993561
"refit","training",12,0.42,0.399130460317254
"refit","training",12,0.43,0.397342431918951
"refit","training",12,0.44,0.386377801370077
"refit","training",12,0.45,0.3877584210695
"refit","training",12,0.46,0.384347024996392
