"Variable","Patients","CI","P","HR","LowerCI","UpperCI"
"Age at diagnosis ","","","",,,
"    ≤ 54","198 (19.96%)","Reference","",,,
"    55-77","685 (69.05%)","1.26(1.06-1.50)","0.010",1.26,1.06,1.5
"    > 78","109 (10.99%)","2.10(1.64-2.68)","<0.001",2.1,1.64,2.68
"Gender ","","","",,,
"    Female","201 (20.26%)","Reference","",,,
"    Male","791 (79.74%)","1.06(0.89-1.25)","0.524",1.06,0.89,1.25
"Race ","","","",,,
"    White","746 (75.20%)","Reference","",,,
"    Black","179 (18.04%)","1.12(0.95-1.34)","0.184",1.12,0.95,1.34
"    Other","67 (6.75%)","0.91(0.70-1.19)","0.490",0.91,0.7,1.19
"Marital status ","","","",,,
"    Married","447 (45.06%)","Reference","",,,
"    Unmarried","545 (54.94%)","1.31(1.14-1.50)","<0.001",1.31,1.14,1.5
"Grade ","","","",,,
"    I","59 (5.95%)","Reference","",,,
"    II","464 (46.77%)","1.11(0.83-1.49)","0.485",1.11,0.83,1.49
"    III","450 (45.36%)","1.05(0.78-1.41)","0.738",1.05,0.78,1.41
"    IV","19 (1.92%)","0.50(0.27-0.95)","0.033",0.5,0.27,0.95
"Primary_site ","","","",,,
"    Oral cavity","148 (14.92%)","Reference","",,,
"    Oropharynx","374 (37.70%)","0.64(0.52-0.78)","<0.001",0.64,0.52,0.78
"    Nasopharynx","91 (9.17%)","0.53(0.40-0.70)","<0.001",0.53,0.4,0.7
"    Hypopharynx","119 (12.00%)","1.21(0.94-1.56)","0.130",1.21,0.94,1.56
"    Larynx","260 (26.21%)","0.83(0.67-1.02)","0.079",0.83,0.67,1.02
"T_stage ","","","",,,
"    T1","127 (12.80%)","Reference","",,,
"    T2","229 (23.08%)","1.25(0.98-1.59)","0.069",1.25,0.98,1.59
"    T3","230 (23.19%)","1.45(1.15-1.85)","0.002",1.45,1.15,1.85
"    T4","406 (40.93%)","1.65(1.33-2.06)","<0.001",1.65,1.33,2.06
"N_stage ","","","",,,
"    N0","165 (16.63%)","Reference","",,,
"    N1","190 (19.15%)","1.03(0.82-1.29)","0.829",1.03,0.82,1.29
"    N2","528 (53.23%)","1.09(0.90-1.31)","0.387",1.09,0.9,1.31
"    N3","109 (10.99%)","1.25(0.97-1.61)","0.089",1.25,0.97,1.61
"Bone_met ","","","",,,
"    No","747 (75.30%)","Reference","",,,
"    Yes","245 (24.70%)","1.29(1.11-1.51)","<0.001",1.29,1.11,1.51
"Brain_met ","","","",,,
"    No","961 (96.88%)","Reference","",,,
"    Yes","31 (3.12%)","2.14(1.48-3.08)","<0.001",2.14,1.48,3.08
"Liver_met ","","","",,,
"    No","889 (89.62%)","Reference","",,,
"    Yes","103 (10.38%)","1.39(1.13-1.71)","0.002",1.39,1.13,1.71
"Lung_met ","","","",,,
"    No","465 (46.88%)","Reference","",,,
"    Yes","527 (53.12%)","1.50(1.31-1.72)","<0.001",1.5,1.31,1.72
"Multiple primary carcinomas ","","","",,,
"    Absence","720 (72.58%)","Reference","",,,
"    Presence","272 (27.42%)","1.02(0.88-1.18)","0.830",1.02,0.88,1.18
"Surgery ","","","",,,
"    No","802 (80.85%)","Reference","",,,
"    Yes","190 (19.15%)","0.66(0.55-0.79)","<0.001",0.66,0.55,0.79
"Radiotherapy ","","","",,,
"    No/unknown","426 (42.94%)","Reference","",,,
"    Yes","566 (57.06%)","0.51(0.44-0.58)","<0.001",0.51,0.44,0.58
"Chemotherapy ","","","",,,
"    No/unknown","338 (34.07%)","Reference","",,,
"    Yes","654 (65.93%)","0.47(0.40-0.54)","<0.001",0.47,0.4,0.54
